,Riksdagsledamot,Parti,Valkrets,chamber,start,end,Yrke
6434,Curt Boström,Socialdemokraterna,Norrbottens län,Enkammarriksdagen,1979,1982,kamrer
6435,Doris Håvik,Socialdemokraterna,Göteborgs kommun,Enkammarriksdagen,1979,1982,assistent
6436,Egon Jacobsson,Socialdemokraterna,Malmöhus län,Enkammarriksdagen,1979,1982,ombudsman
6437,Einar Larsson,Centerpartiet,Kristianstads län,Enkammarriksdagen,1979,1982,lantbrukare
6438,Eivor Marklund,Vänsterpartiet kommunisterna,Norrbottens län,Enkammarriksdagen,1979,1982,
6439,Elis Andersson,Centerpartiet,Stockholms län,Enkammarriksdagen,1979,1982,byggnadsarbetare
6440,Elisabeth Fleetwood,Moderata samlingspartiet,Stockholms kommun,Enkammarriksdagen,1979,1982,fil. mag.
6441,Ella Johnsson,Centerpartiet,Hallands län,Enkammarriksdagen,1979,1982,
6442,Elver Jonsson,Folkpartiet,Älvsborgs läns norra,Enkammarriksdagen,1979,1982,postiljon
6443,Elvy Nilsson,Socialdemokraterna,Värmlands län,Enkammarriksdagen,1979,1982,fru
6444,Elvy Olsson,Centerpartiet,Stockholms län,Enkammarriksdagen,1979,1982,f.d. statsråd
6445,Eric Enlund,Folkpartiet,Västmanlands län,Enkammarriksdagen,1979,1982,f.d. statsråd
6446,Eric Holmqvist,Socialdemokraterna,Fyrstadskretsen,Enkammarriksdagen,1979,1982,f.d. statsråd
6447,Eric Hägelmark,Folkpartiet,Kristianstads län,Enkammarriksdagen,1979,1982,kapten
6448,Eric Jönsson,Socialdemokraterna,Fyrstadskretsen,Enkammarriksdagen,1979,1982,ombudsman
6449,Eric Krönmark,Moderata samlingspartiet,Kalmar län,Enkammarriksdagen,1979,1982,statsråd
6450,Eric Rejdnell,Folkpartiet,Kalmar län,Enkammarriksdagen,1979,1982,kamrer
6451,Erik Hovhammar,Moderata samlingspartiet,Kronobergs län,Enkammarriksdagen,1979,1982,bruksdisponent
6452,Erik Johansson i Simrishamn,Socialdemokraterna,Kristianstads län,Enkammarriksdagen,1979,1982,arbetsförmedlingsföreståndare
6453,Erik Larsson,Centerpartiet,Örebro län,Enkammarriksdagen,1979,1982,lantbrukare
6454,Erik Wärnberg,Socialdemokraterna,Östergötlands län,Enkammarriksdagen,1979,1982,bankofullmäktig
6455,Essen Lindahl,Socialdemokraterna,Stockholms län,Enkammarriksdagen,1979,1982,direktör
6456,Eva Hjelmström,Vänsterpartiet kommunisterna,Stockholms kommun,Enkammarriksdagen,1979,1982,"civilekonom, tjänsteman"
6457,Eva Winther,Folkpartiet,Norrbottens län,Enkammarriksdagen,1979,1982,"sjuksköterska, f.d. statsråd"
6458,Evert Hedberg,Socialdemokraterna,Hallands län,Enkammarriksdagen,1979,1982,ombudsman
6459,Evert Svensson,Socialdemokraterna,Göteborgs och Bohus län,Enkammarriksdagen,1979,1982,"socionom, förbundsordförande"
6460,Filip Johansson,Centerpartiet,Norrbottens län,Enkammarriksdagen,1979,1982,lantbrukare
6461,Frida Berglund,Socialdemokraterna,Norrbottens län,Enkammarriksdagen,1979,1982,skolsköterska
6462,Gabriel Romanus,Folkpartiet,Stockholms län,Enkammarriksdagen,1979,1982,f.d. statsråd
6463,Georg Andersson,Socialdemokraterna,Västerbottens län,Enkammarriksdagen,1979,1982,rektor
6464,Georg Danell,Moderata samlingspartiet,Stockholms län,Enkammarriksdagen,1979,1982,statsråd
6465,Georg Åberg,Folkpartiet,Göteborgs och Bohus län,Enkammarriksdagen,1979,1982,fiskeriombudsman
6466,Gertrud Sigurdsen,Socialdemokraterna,Stockholms kommun,Enkammarriksdagen,1979,1982,"f.d. statsråd, ombudsman"
6467,Grethe Lundblad,Socialdemokraterna,Fyrstadskretsen,Enkammarriksdagen,1979,1982,socialinspektör
6468,Gudrun Sundström,Socialdemokraterna,Kopparbergs län,Enkammarriksdagen,1979,1982,
6469,Gullan Lindblad,Moderata samlingspartiet,Värmlands län,Enkammarriksdagen,1979,1982,
6470,Gunilla André,Centerpartiet,Skaraborgs län,Enkammarriksdagen,1979,1982,
6471,Gunnar Biörck,Moderata samlingspartiet,Stockholms län,Enkammarriksdagen,1979,1982,professor
6472,Gunnar Björk,Centerpartiet,Gävleborgs län,Enkammarriksdagen,1979,1982,bankkonsulent
6473,Gunnar Nilsson,Socialdemokraterna,Stockholms län,Enkammarriksdagen,1979,1982,LO-ordförande
6474,Gunnar Olsson,Socialdemokraterna,Värmlands län,Enkammarriksdagen,1979,1982,
6475,Gunnar Oskarsson,Moderata samlingspartiet,Hallands län,Enkammarriksdagen,1979,1982,major
6476,Gunnar Sträng,Socialdemokraterna,Älvsborgs läns södra,Enkammarriksdagen,1979,1982,"f.d. statsråd, bankofullmäktig"
6477,Gunnel Jonäng,Centerpartiet,Gävleborgs län,Enkammarriksdagen,1979,1982,studieinstruktör
6478,Gunnel Liljegren,Moderata samlingspartiet,Stockholms län,Enkammarriksdagen,1979,1982,adjunkt
6479,Göran Allmér,Moderata samlingspartiet,Södermanlands län,Enkammarriksdagen,1979,1982,rektor
6480,Göran Karlsson,Socialdemokraterna,Jönköpings län,Enkammarriksdagen,1979,1982,redaktör
6481,Göran Persson,Socialdemokraterna,Södermanlands län,Enkammarriksdagen,1979,1982,kommunalråd
6482,Gösta Andersson,Centerpartiet,Kalmar län,Enkammarriksdagen,1979,1982,skogsbrukare
6483,Gösta Bohman,Moderata samlingspartiet,Stockholms kommun,Enkammarriksdagen,1979,1982,statsråd
6484,Göte Jonsson,Moderata samlingspartiet,Jönköpings län,Enkammarriksdagen,1979,1982,kriminalinspektör
6485,Göthe Knutson,Moderata samlingspartiet,Värmlands län,Enkammarriksdagen,1979,1982,redaktör
6486,Hagar Normark,Socialdemokraterna,Västerbottens län,Enkammarriksdagen,1979,1982,
6487,Hans Alsén,Socialdemokraterna,Uppsala län,Enkammarriksdagen,1979,1982,
6488,Hans Gustafsson,Socialdemokraterna,Blekinge län,Enkammarriksdagen,1979,1982,"socionom, f.d. statsråd, stadsdirektör"
6489,Hans Lindblad,Folkpartiet,Gävleborgs län,Enkammarriksdagen,1979,1982,redaktör
6490,Hans Nyhage,Moderata samlingspartiet,Älvsborgs läns södra,Enkammarriksdagen,1979,1982,rektor
6491,Hans Petersson,Vänsterpartiet kommunisterna,Västmanlands län,Enkammarriksdagen,1979,1982,"ombudsman, f. 1942"
6492,Hans Petersson i Röstånga,Folkpartiet,Malmöhus län,Enkammarriksdagen,1979,1982,folkskollärare
6493,Hans Pettersson,Socialdemokraterna,Fyrstadskretsen,Enkammarriksdagen,1979,1982,kranmaskinist
6494,Hans Wachtmeister,Moderata samlingspartiet,Blekinge län,Enkammarriksdagen,1979,1982,"civiljägmästare, godsägare"
6495,Helge Hagberg,Socialdemokraterna,Örebro län,Enkammarriksdagen,1979,1982,f.d. kommunalråd
6496,Helge Karlsson,Socialdemokraterna,Blekinge län,Enkammarriksdagen,1979,1982,metallarbetare
6497,Helge Klöver,Socialdemokraterna,Jönköpings län,Enkammarriksdagen,1979,1982,järnvägsexpeditör
6498,Hilding Johansson,Socialdemokraterna,Älvsborgs läns norra,Enkammarriksdagen,1979,1982,"fil. dr, konstitutionsutskottets vice ordförande"
6499,Hugo Bengtsson,Socialdemokraterna,Fyrstadskretsen,Enkammarriksdagen,1979,1982,plåtslagare
6500,Håkan Strömberg,Socialdemokraterna,Örebro län,Enkammarriksdagen,1979,1982,metallarbetare
6501,Håkan Winberg,Moderata samlingspartiet,Västernorrlands län,Enkammarriksdagen,1979,1982,statsråd
6502,Ing-Marie Hansson,Socialdemokraterna,Gävleborgs län,Enkammarriksdagen,1979,1982,sjuksköterska
6503,Inga Lantz,Vänsterpartiet kommunisterna,Stockholms län,Enkammarriksdagen,1979,1982,industritjänsteman
6504,Ingegerd Elm,Socialdemokraterna,Jönköpings län,Enkammarriksdagen,1979,1982,kontorist
6505,Ingegerd Troedsson,Moderata samlingspartiet,Uppsala län,Enkammarriksdagen,1979,1982,"f.d. statsråd, förste vice talman"
6506,Ingegärd Oskarsson,Centerpartiet,Kronobergs län,Enkammarriksdagen,1979,1982,
6507,Ingemar Hallenius,Centerpartiet,Skaraborgs län,Enkammarriksdagen,1979,1982,lantbrukare
6508,Ingemar Konradsson,Socialdemokraterna,Örebro län,Enkammarriksdagen,1979,1982,inspektör
6509,Ingemar Mundebo,Folkpartiet,Stockholms län,Enkammarriksdagen,1979,1982,statsråd
6510,Ingemund Bengtsson,Socialdemokraterna,Hallands län,Enkammarriksdagen,1979,1982,"f.d. statsråd, talman"
6511,Inger Lindquist,Moderata samlingspartiet,Göteborgs kommun,Enkammarriksdagen,1979,1982,rådman
6512,Ingrid Segerström,Socialdemokraterna,Stockholms kommun,Enkammarriksdagen,1979,1982,
6513,Ingrid Sundberg,Moderata samlingspartiet,Malmöhus län,Enkammarriksdagen,1979,1982,fil. kand.
6514,Ingvar Carlsson,Socialdemokraterna,Stockholms län,Enkammarriksdagen,1979,1982,f.d. statsråd
6515,Ingvar Eriksson,Moderata samlingspartiet,Kristianstads län,Enkammarriksdagen,1979,1982,lantbrukare
6516,Ingvar Svanberg,Socialdemokraterna,Norrbottens län,Enkammarriksdagen,1979,1982,"skoldirektör, näringsutskottets ordförande"
6517,Iris Mårtensson,Socialdemokraterna,Gävleborgs län,Enkammarriksdagen,1979,1982,studieombudsman
6518,Ivan Svanström,Centerpartiet,Kalmar län,Enkammarriksdagen,1979,1982,lantbrukare
6519,Ivar Franzén,Centerpartiet,Hallands län,Enkammarriksdagen,1979,1982,lantmästare
6520,Ivar Nordberg,Socialdemokraterna,Stockholms län,Enkammarriksdagen,1979,1982,organisationssekreterare
6521,Jan Bergqvist,Socialdemokraterna,Göteborgs kommun,Enkammarriksdagen,1979,1982,sekreterare
6522,Jan Fransson,Socialdemokraterna,Skaraborgs län,Enkammarriksdagen,1979,1982,
6523,Jan Prytz,Moderata samlingspartiet,Göteborgs kommun,Enkammarriksdagen,1979,1982,redaktör
6524,Jan-Erik Wikström,Folkpartiet,Stockholms kommun,Enkammarriksdagen,1979,1982,statsråd
6525,Jens Eriksson,Moderata samlingspartiet,Göteborgs och Bohus län,Enkammarriksdagen,1979,1982,ombudsman
6526,Joakim Ollén,Moderata samlingspartiet,Fyrstadskretsen,Enkammarriksdagen,1979,1982,sekreterare
6527,Johan A. Olsson,Centerpartiet,Gävleborgs län,Enkammarriksdagen,1979,1982,näringsutskottets vice ordförande
6528,John Andersson,Vänsterpartiet kommunisterna,Västerbottens län,Enkammarriksdagen,1979,1982,skogsarbetare
6529,John Johnsson,Socialdemokraterna,Malmöhus län,Enkammarriksdagen,1979,1982,ombudsman
6530,Jörgen Ullenhag,Folkpartiet,Uppsala län,Enkammarriksdagen,1979,1982,fil. dr
6531,Jörn Svensson,Vänsterpartiet kommunisterna,Fyrstadskretsen,Enkammarriksdagen,1979,1982,planeringsdirektör
6532,Karin Ahrland,Folkpartiet,Fyrstadskretsen,Enkammarriksdagen,1979,1982,förste länsassessor
6533,Karin Andersson,Centerpartiet,Stockholms kommun,Enkammarriksdagen,1979,1982,statsråd
6534,Karin Flodström,Socialdemokraterna,Örebro län,Enkammarriksdagen,1979,1982,lågstadielärare
6535,Karin Israelsson,Centerpartiet,Västerbottens län,Enkammarriksdagen,1979,1982,distriktssköterska
6536,Karin Nordlander,Vänsterpartiet kommunisterna,Stockholms kommun,Enkammarriksdagen,1979,1982,
6537,Karin Söder,Centerpartiet,Stockholms län,Enkammarriksdagen,1979,1982,statsråd
6538,Karl Björzén,Moderata samlingspartiet,Västmanlands län,Enkammarriksdagen,1979,1982,bergsingenjör
6539,Karl Boo,Centerpartiet,Kopparbergs län,Enkammarriksdagen,1979,1982,kontrollassistent
6540,Karl Erik Eriksson,Folkpartiet,Värmlands län,Enkammarriksdagen,1979,1982,"lantbrukare, tredje vice talman"
6541,Karl Leuchovius,Moderata samlingspartiet,Skaraborgs län,Enkammarriksdagen,1979,1982,lantbrukare
6542,Karl-Eric Norrby,Centerpartiet,Värmlands län,Enkammarriksdagen,1979,1982,lantbrukare
6543,Karl-Erik Häll,Socialdemokraterna,Norrbottens län,Enkammarriksdagen,1979,1982,ombudsman
6544,Karl-Erik Svartberg,Socialdemokraterna,Göteborgs och Bohus län,Enkammarriksdagen,1979,1982,rektor
6545,Karl-Gustaf Mathsson,Socialdemokraterna,Västmanlands län,Enkammarriksdagen,1979,1982,ombudsman
6546,Kersti Swartz,Folkpartiet,Östergötlands län,Enkammarriksdagen,1979,1982,
6547,Kerstin Andersson,Centerpartiet,Älvsborgs läns norra,Enkammarriksdagen,1979,1982,folkskollärare
6548,Kerstin Andersson,Socialdemokraterna,Örebro län,Enkammarriksdagen,1979,1982,fru
6549,Kerstin Anér,Folkpartiet,Stockholms län,Enkammarriksdagen,1979,1982,statssekreterare
6550,Kerstin Ekman,Folkpartiet,Göteborgs kommun,Enkammarriksdagen,1979,1982,ingenjör
6551,Kerstin Göthberg,Centerpartiet,Västmanlands län,Enkammarriksdagen,1979,1982,fru
6552,Kerstin Nilsson,Socialdemokraterna,Norrbottens län,Enkammarriksdagen,1979,1982,folkhögskollärare
6553,Kjell A. Mattsson,Centerpartiet,Göteborgs och Bohus län,Enkammarriksdagen,1979,1982,civilutskottets ordförande
6554,Kjell Nilsson,Socialdemokraterna,Kronobergs län,Enkammarriksdagen,1979,1982,metallarbetare
6555,Kjell-Olof Feldt,Socialdemokraterna,Kopparbergs län,Enkammarriksdagen,1979,1982,f.d. statsråd
6556,Knut Billing,Moderata samlingspartiet,Stockholms län,Enkammarriksdagen,1979,1982,pol. sekr.
6557,Knut Wachtmeister,Moderata samlingspartiet,Malmöhus län,Enkammarriksdagen,1979,1982,lantmästare
6558,Kurt Hugosson,Socialdemokraterna,Göteborgs kommun,Enkammarriksdagen,1979,1982,byråchef
6559,Kurt Ove Johansson,Socialdemokraterna,Fyrstadskretsen,Enkammarriksdagen,1979,1982,ombudsman
6560,Lahja Exner,Socialdemokraterna,Älvsborgs läns södra,Enkammarriksdagen,1979,1982,textilarbeterska
6561,Lars Ahlmark,Moderata samlingspartiet,Uppsala län,Enkammarriksdagen,1979,1982,avdelningschef
6562,Lars Gustafsson,Socialdemokraterna,Stockholms län,Enkammarriksdagen,1979,1982,universitetslektor
6563,Lars Hedfors,Socialdemokraterna,Kronobergs län,Enkammarriksdagen,1979,1982,studierektor
6564,Lars Henrikson,Socialdemokraterna,Östergötlands län,Enkammarriksdagen,1979,1982,ombudsman
6565,Lars Tobisson,Moderata samlingspartiet,Göteborgs kommun,Enkammarriksdagen,1979,1982,
6566,Lars Ulander,Socialdemokraterna,Stockholms kommun,Enkammarriksdagen,1979,1982,ombudsman
6567,Lars Werner,Vänsterpartiet kommunisterna,Stockholms län,Enkammarriksdagen,1979,1982,ombudsman
6568,Lars-Erik Lövdén,Socialdemokraterna,Fyrstadskretsen,Enkammarriksdagen,1979,1982,riksgäldsfullmäktig
6569,Lars-Ingvar Sörenson,Socialdemokraterna,Göteborgs kommun,Enkammarriksdagen,1979,1982,lokförare
6570,Lars-Ove Hagberg,Vänsterpartiet kommunisterna,Kopparbergs län,Enkammarriksdagen,1979,1982,järnbruksarbetare
6571,Lars-Åke Larsson,Socialdemokraterna,Älvsborgs läns norra,Enkammarriksdagen,1979,1982,ombudsman
6572,Larz Johansson,Centerpartiet,Södermanlands län,Enkammarriksdagen,1979,1982,
6573,Lena Hjelm-Wallén,Socialdemokraterna,Västmanlands län,Enkammarriksdagen,1979,1982,f.d. statsråd
6574,Lena Öhrsvik,Socialdemokraterna,Kalmar län,Enkammarriksdagen,1979,1982,kurator
6575,Lennart Andersson,Socialdemokraterna,Stockholms län,Enkammarriksdagen,1979,1982,studieombudsman
6576,Lennart Bladh,Socialdemokraterna,Kristianstads län,Enkammarriksdagen,1979,1982,yrkesvalslärare
6577,Lennart Blom i Stockholm,Moderata samlingspartiet,Stockholms kommun,Enkammarriksdagen,1979,1982,jur. kand.
6578,Lennart Brunander,Centerpartiet,Älvsborgs läns södra,Enkammarriksdagen,1979,1982,
6579,Lennart Nilsson,Socialdemokraterna,Göteborgs och Bohus län,Enkammarriksdagen,1979,1982,byggnadssnickare
6580,Lennart Pettersson,Socialdemokraterna,Fyrstadskretsen,Enkammarriksdagen,1979,1982,fil. kand.
6581,Lilly Bergander,Socialdemokraterna,Stockholms län,Enkammarriksdagen,1979,1982,
6582,Lilly Hansson,Socialdemokraterna,Västerbottens län,Enkammarriksdagen,1979,1982,mentalskötare
6583,Linnea Hörlén,Folkpartiet,Jönköpings län,Enkammarriksdagen,1979,1982,adjunkt
6584,Lisa Mattson,Socialdemokraterna,Göteborgs kommun,Enkammarriksdagen,1979,1982,förbundsordförande
6585,Magnus Persson,Socialdemokraterna,Värmlands län,Enkammarriksdagen,1979,1982,
6586,Maj Britt Theorin,Socialdemokraterna,Stockholms kommun,Enkammarriksdagen,1979,1982,sekreterare
6587,Maj Pehrsson,Centerpartiet,Älvsborgs läns södra,Enkammarriksdagen,1979,1982,
6588,Maj-Lis Landberg,Socialdemokraterna,Östergötlands län,Enkammarriksdagen,1979,1982,
6589,Maj-Lis Lööw,Socialdemokraterna,Södermanlands län,Enkammarriksdagen,1979,1982,arbetsförmedlare
6590,Maja Bäckström,Socialdemokraterna,Kristianstads län,Enkammarriksdagen,1979,1982,undersköterska
6591,Maja Ohlin,Socialdemokraterna,Hallands län,Enkammarriksdagen,1979,1982,skolkanslist
6592,Margareta Gard,Moderata samlingspartiet,Kopparbergs län,Enkammarriksdagen,1979,1982,överlantmätare
6593,Margareta Palmqvist,Socialdemokraterna,Stockholms län,Enkammarriksdagen,1979,1982,barnmorska
6594,Margaretha af Ugglas,Moderata samlingspartiet,Stockholms kommun,Enkammarriksdagen,1979,1982,civilekonom
6595,Margit Sandéhn,Socialdemokraterna,Malmöhus län,Enkammarriksdagen,1979,1982,textillärare
6596,Margot Håkansson,Folkpartiet,Blekinge län,Enkammarriksdagen,1979,1982,sjuksköterska
6597,Margot Wallström,Socialdemokraterna,Värmlands län,Enkammarriksdagen,1979,1982,banktjänsteman
6598,Maria Lagergren,Socialdemokraterna,Östergötlands län,Enkammarriksdagen,1979,1982,receptionist
6599,Marianne Karlsson,Centerpartiet,Östergötlands län,Enkammarriksdagen,1979,1982,
6600,Marianne Stålberg,Socialdemokraterna,Jämtlands län,Enkammarriksdagen,1979,1982,
6601,Marianne Wahlberg,Folkpartiet,Stockholms län,Enkammarriksdagen,1979,1982,"f.d. statsråd, avdelningschef"
6602,Marie-Ann Johansson,Vänsterpartiet kommunisterna,Göteborgs kommun,Enkammarriksdagen,1979,1982,programmerare
6603,Martin Olsson,Centerpartiet,Västernorrlands län,Enkammarriksdagen,1979,1982,bankkamrer
6604,Martin Segerstedt,Socialdemokraterna,Västernorrlands län,Enkammarriksdagen,1979,1982,arbetsförmedlare
6605,Mats Hellström,Socialdemokraterna,Stockholms kommun,Enkammarriksdagen,1979,1982,
6606,Mona Saint Cyr,Moderata samlingspartiet,Östergötlands län,Enkammarriksdagen,1979,1982,
6607,Märta Fredrikson,Centerpartiet,Göteborgs och Bohus län,Enkammarriksdagen,1979,1982,
6608,Mårten Werner,Moderata samlingspartiet,Fyrstadskretsen,Enkammarriksdagen,1979,1982,kyrkoherde
6609,Nils Berndtson,Vänsterpartiet kommunisterna,Östergötlands län,Enkammarriksdagen,1979,1982,ombudsman
6610,Nils Carlshamre,Moderata samlingspartiet,Göteborgs och Bohus län,Enkammarriksdagen,1979,1982,"lektor, socialförsäkringsutskottets vice ordförande"
6611,Nils Erik Wååg,Socialdemokraterna,Kristianstads län,Enkammarriksdagen,1979,1982,byggnadsingenjör
6612,Nils Hjorth,Socialdemokraterna,Uppsala län,Enkammarriksdagen,1979,1982,förrådsförvaltare
6613,Nils Åsling,Centerpartiet,Jämtlands län,Enkammarriksdagen,1979,1982,statsråd
6614,Nils-Olof Grönhagen,Socialdemokraterna,Västernorrlands län,Enkammarriksdagen,1979,1982,
6615,Nils-Olof Gustafsson,Socialdemokraterna,Jämtlands län,Enkammarriksdagen,1979,1982,ombudsman
6616,Ola Ullsten,Folkpartiet,Stockholms kommun,Enkammarriksdagen,1979,1982,statsråd
6617,Olle Aulin,Moderata samlingspartiet,Fyrstadskretsen,Enkammarriksdagen,1979,1982,överstelöjtnant
6618,Olle Eriksson,Centerpartiet,Älvsborgs läns norra,Enkammarriksdagen,1979,1982,entreprenör
6619,Olle Grahn,Folkpartiet,Skaraborgs län,Enkammarriksdagen,1979,1982,fabrikör
6620,Olle Göransson,Socialdemokraterna,Västmanlands län,Enkammarriksdagen,1979,1982,verkmästare
6621,Olle Svensson,Socialdemokraterna,Södermanlands län,Enkammarriksdagen,1979,1982,redaktör
6622,Olle Westberg,Socialdemokraterna,Gävleborgs län,Enkammarriksdagen,1979,1982,svarvare
6623,Olle Wästberg,Folkpartiet,Stockholms kommun,Enkammarriksdagen,1979,1982,fil. kand.
6624,Olle Östrand,Socialdemokraterna,Gävleborgs län,Enkammarriksdagen,1979,1982,mätningsföreståndare
6625,Olof Johansson,Centerpartiet,Stockholms kommun,Enkammarriksdagen,1979,1982,f.d. statsråd
6626,Olof Palme,Socialdemokraterna,Stockholms kommun,Enkammarriksdagen,1979,1982,f.d. statsminister
6627,Oskar Lindkvist,Socialdemokraterna,Stockholms kommun,Enkammarriksdagen,1979,1982,organisationschef
6628,Oswald Söderqvist,Vänsterpartiet kommunisterna,Uppsala län,Enkammarriksdagen,1979,1982,byråsekreterare
6629,Ove Karlsson (politiker),Socialdemokraterna,Kopparbergs län,Enkammarriksdagen,1979,1982,skogsarbetare
6630,Owe Andréasson,Socialdemokraterna,Hallands län,Enkammarriksdagen,1979,1982,verktygsmakare
6631,Paul Jansson,Socialdemokraterna,Skaraborgs län,Enkammarriksdagen,1979,1982,elektriker
6632,Per Bergman,Socialdemokraterna,Göteborgs kommun,Enkammarriksdagen,1979,1982,civilutskottets vice ordförande
6633,Per Israelsson,Vänsterpartiet kommunisterna,Örebro län,Enkammarriksdagen,1979,1982,krutbruksarbetare
6634,Per Olof Håkansson,Socialdemokraterna,Malmöhus län,Enkammarriksdagen,1979,1982,byggnadsingenjör
6635,Per Petersson i Gäddvik,Moderata samlingspartiet,Norrbottens län,Enkammarriksdagen,1979,1982,"hemmansägare, försvarsutskottets ordförande"
6636,Per Stenmarck,Moderata samlingspartiet,Malmöhus län,Enkammarriksdagen,1979,1982,tjänsteman
6637,Per Unckel,Moderata samlingspartiet,Östergötlands län,Enkammarriksdagen,1979,1982,förbundsordförande
6638,Per Westerberg,Moderata samlingspartiet,Södermanlands län,Enkammarriksdagen,1979,1982,civilekonom
6639,Per-Axel Nilsson,Socialdemokraterna,Gotlands län,Enkammarriksdagen,1979,1982,avdelningschef
6640,Per-Olof Strindberg,Moderata samlingspartiet,Östergötlands län,Enkammarriksdagen,1979,1982,länsombudsman
6641,Pär Granstedt,Centerpartiet,Stockholms län,Enkammarriksdagen,1979,1982,
6642,Ralf Lindström,Socialdemokraterna,Blekinge län,Enkammarriksdagen,1979,1982,ombudsman
6643,Raul Blücher,Vänsterpartiet kommunisterna,Värmlands län,Enkammarriksdagen,1979,1982,
6644,Roland Brännström,Socialdemokraterna,Västerbottens län,Enkammarriksdagen,1979,1982,verkmästare
6645,Roland Sundgren,Socialdemokraterna,Västmanlands län,Enkammarriksdagen,1979,1982,ombudsman
6646,Rolf Andersson,Centerpartiet,Hallands län,Enkammarriksdagen,1979,1982,
6647,Rolf Clarkson,Moderata samlingspartiet,Fyrstadskretsen,Enkammarriksdagen,1979,1982,direktör
6648,Rolf Dahlberg,Moderata samlingspartiet,Gävleborgs län,Enkammarriksdagen,1979,1982,yrkesvalslärare
6649,Rolf Rämgård,Centerpartiet,Kopparbergs län,Enkammarriksdagen,1979,1982,
6650,Rolf Sellgren,Folkpartiet,Västernorrlands län,Enkammarriksdagen,1979,1982,transportchef
6651,Rolf Wirtén,Folkpartiet,Jönköpings län,Enkammarriksdagen,1979,1982,folkskollärare
6652,Rune Carlstein,Socialdemokraterna,Älvsborgs läns södra,Enkammarriksdagen,1979,1982,stadskassör
6653,Rune Gustavsson,Centerpartiet,Kronobergs län,Enkammarriksdagen,1979,1982,"socionom, f.d. statsråd"
6654,Rune Johansson,Socialdemokraterna,Älvsborgs läns norra,Enkammarriksdagen,1979,1982,verkmästare
6655,Rune Jonsson,Socialdemokraterna,Västernorrlands län,Enkammarriksdagen,1979,1982,elektriker
6656,Rune Rydén,Moderata samlingspartiet,Fyrstadskretsen,Enkammarriksdagen,1979,1982,fil. lic.
6657,Rune Torwald,Centerpartiet,Göteborgs kommun,Enkammarriksdagen,1979,1982,utredningssekreterare
6658,Rune Ångström,Folkpartiet,Västerbottens län,Enkammarriksdagen,1979,1982,direktör
6659,Siri Häggmark,Moderata samlingspartiet,Göteborgs och Bohus län,Enkammarriksdagen,1979,1982,distriktssköterska
6660,Sivert Andersson,Socialdemokraterna,Stockholms kommun,Enkammarriksdagen,1979,1982,avdelningsordförande
6661,Sixten Pettersson,Moderata samlingspartiet,Stockholms kommun,Enkammarriksdagen,1979,1982,chaufför
6662,Sonja Rembo,Moderata samlingspartiet,Göteborgs kommun,Enkammarriksdagen,1979,1982,sekreterare
6663,Staffan Burenstam Linder,Moderata samlingspartiet,Stockholms län,Enkammarriksdagen,1979,1982,professor
6664,Sten Andersson,Socialdemokraterna,Stockholms kommun,Enkammarriksdagen,1979,1982,partisekreterare
6665,Sten Sture Patersson,Moderata samlingspartiet,Älvsborgs läns norra,Enkammarriksdagen,1979,1982,fil. dr
6666,Sten Svensson,Moderata samlingspartiet,Skaraborgs län,Enkammarriksdagen,1979,1982,informationschef
6667,Sten-Ove Sundström,Socialdemokraterna,Norrbottens län,Enkammarriksdagen,1979,1982,järnverksarbetare
6668,Stig Alemyr,Socialdemokraterna,Kalmar län,Enkammarriksdagen,1979,1982,folkhögskolerektor
6669,Stig Alftin,Socialdemokraterna,Gävleborgs län,Enkammarriksdagen,1979,1982,
6670,Stig Josefson,Centerpartiet,Malmöhus län,Enkammarriksdagen,1979,1982,lantbrukare
6671,Stig Olsson,Socialdemokraterna,Västernorrlands län,Enkammarriksdagen,1979,1982,
6672,Stina Eliasson,Centerpartiet,Jämtlands län,Enkammarriksdagen,1979,1982,ämneslärare
6673,Sture Ericson,Socialdemokraterna,Örebro län,Enkammarriksdagen,1979,1982,redaktör
6674,Sture Korpås,Centerpartiet,Uppsala län,Enkammarriksdagen,1979,1982,rektor
6675,Sture Palm,Socialdemokraterna,Stockholms län,Enkammarriksdagen,1979,1982,redaktör
6676,Sture Thun,Socialdemokraterna,Östergötlands län,Enkammarriksdagen,1979,1982,
6677,Sune Johansson,Socialdemokraterna,Värmlands län,Enkammarriksdagen,1979,1982,ombudsman
6678,Svante Lundkvist,Socialdemokraterna,Södermanlands län,Enkammarriksdagen,1979,1982,f.d. statsråd
6679,Sven Aspling,Socialdemokraterna,Värmlands län,Enkammarriksdagen,1979,1982,"f.d. statsråd, socialförsäkringsutskottets ordförande"
6680,Sven Eric Lorentzon,Moderata samlingspartiet,Hallands län,Enkammarriksdagen,1979,1982,lantbrukare
6681,Sven Eric Åkerfeldt,Centerpartiet,Uppsala län,Enkammarriksdagen,1979,1982,lantbrukare
6682,Sven G. Andersson,Folkpartiet,Örebro län,Enkammarriksdagen,1979,1982,frisörmästare
6683,Sven Henricsson,Vänsterpartiet kommunisterna,Västernorrlands län,Enkammarriksdagen,1979,1982,förste järnvägsexpeditör
6684,Sven Johansson,Centerpartiet,Jönköpings län,Enkammarriksdagen,1979,1982,pastor
6685,Sven Lindberg,Socialdemokraterna,Jämtlands län,Enkammarriksdagen,1979,1982,ombudsman
