,Riksdagsledamot,Parti,Valkrets,chamber,start,end,Yrke
110,Herman Blomquist,f. 1879,Östra valkretsen,Andra kammaren,1921,1921,
111,Herman Lindqvist,s,Första valkretsen,Andra kammaren,1921,1921,
112,Herman Norling,s,Östra valkretsen,Andra kammaren,1921,1921,
113,Hj. Carlsson i Mossby,f. 1886,Södra valkretsen,Andra kammaren,1921,1921,
114,Hjalmar Branting,s,Första valkretsen,Andra kammaren,1921,1921,
115,Hjalmar Gustafson,f. 1883,Första valkretsen,Andra kammaren,1921,1921,
116,Hjalmar Svensson i Grönvik,bf,Östra valkretsen,Andra kammaren,1921,1921,
117,Hugo Karlström,jordbrukarnas riksförbund,Gotlands län,Andra kammaren,1921,1921,
118,Ivan Bratt,l,Första valkretsen,Andra kammaren,1921,1921,
119,Ivar Jansson i Talby,f. 1893,Södra valkretsen,Andra kammaren,1921,1921,
120,Ivar Vennerström,s,Ångermanlands södra valkrets,Andra kammaren,1921,1921,
121,Jakob Pettersson,f. 1866,Södra valkretsen,Andra kammaren,1921,1921,
122,Jeppe Clemedtson,h,Blekinge län,Andra kammaren,1921,1921,
123,Johan August Jonsson i Hökhult,f. 1851,Östra valkretsen,Andra kammaren,1921,1921,
124,Johan Bernhard Eriksson i Grängesberg,f. 1878,Västra valkretsen,Andra kammaren,1921,1921,
125,Johan Gustaf Svensson i Betingetorp,h,Östra valkretsen,Andra kammaren,1921,1921,
126,Johan Jönsson i Revinge,f. 1875,Mellersta valkretsen,Andra kammaren,1921,1921,
127,Johan Lars Wilhelm Stjernstedt,f. 1865,Norra valkretsen,Andra kammaren,1921,1921,
128,Johan Larsson i Jonsjö,bf,Hallands län,Andra kammaren,1921,1921,
129,Johan Peter Igel,f. 1855,Västra valkretsen,Andra kammaren,1921,1921,
130,Johan Rehn,f. 1865,Södra valkretsen,Andra kammaren,1921,1921,
131,Johan Wilhelm Billqvist,f. 1867,Norra valkretsen,Andra kammaren,1921,1921,
132,John Erlansson,f. 1863,Nordvästra valkretsen,Andra kammaren,1921,1921,
133,John Jönsson i Boa,f. 1862,Blekinge län,Andra kammaren,1921,1921,
134,John L. Falk,h,Södra valkretsen,Andra kammaren,1921,1921,
135,Jonas Dahlén,v-s,Norra valkretsen,Andra kammaren,1921,1921,
136,Jonas Nikolaus Svedberg,f. 1881,Hälsinglands södra valkrets,Andra kammaren,1921,1921,
137,Jones Erik Andersson i Ovanåker,bf,Norra valkretsen,Andra kammaren,1921,1921,
138,Julius Hedvall,f. 1886,Göteborgs stad,Andra kammaren,1921,1921,
139,K. Bergström i Högsön,f. 1880,Norra valkretsen,Andra kammaren,1921,1921,
140,Karl Allan Westman,f. 1883,Södra valkretsen,Andra kammaren,1921,1921,
141,Karl Arthur Ryberg,f. 1882,Södra valkretsen,Andra kammaren,1921,1921,
142,Karl August Borg,f. 1866,Uppsala län,Andra kammaren,1921,1921,
143,Karl Johan Söderberg,f. 1877,Södra valkretsen,Andra kammaren,1921,1921,
144,Karl Magnus Anderson i Milsmaden,l,Södra valkretsen,Andra kammaren,1921,1921,
145,Karl Magnusson,h,Norra valkretsen,Andra kammaren,1921,1921,
146,Karl Magnusson i Kalmar,s,Södra valkretsen,Andra kammaren,1921,1921,
147,Karl Starbäck,,Andra valkretsen,Andra kammaren,1921,1921,
148,Karl Ward,f. 1888,Norrköping-Linköpings valkrets,Andra kammaren,1921,1921,
149,Knut Erik Wilhelm Söderhielm,f. 1871,Andra valkretsen,Andra kammaren,1921,1921,
150,Lars Anton Björklund,f. 1881,Nordvästra valkretsen,Andra kammaren,1921,1921,
151,Lars Borggren,s,Nordvästra valkretsen,Andra kammaren,1921,1921,
152,Lars Dalgren,f. 1887,Norra valkretsen,Andra kammaren,1921,1921,
153,Lars Johan Carlsson i Frosterud,f. 1863,Östra valkretsen,Andra kammaren,1921,1921,
154,Lars Olsson i Hov,f. 1869,Hälsinglands norra valkrets,Andra kammaren,1921,1921,
155,Ludwig Brännström,h,Norra valkretsen,Andra kammaren,1921,1921,
156,Malte Sommelius,f. 1851,"Hälsingborg, Landskrona och Lund",Andra kammaren,1921,1921,
157,Martin Andersson i Igelboda,f. 1886,Södra valkretsen,Andra kammaren,1921,1921,
158,Martin Jensen,f. 1881,"Hälsingborg, Landskrona och Lund",Andra kammaren,1921,1921,
159,Nils Björk i Tryde,s,Sydöstra valkretsen,Andra kammaren,1921,1921,
160,Nils Broander,f. 1868,Gotlands län,Andra kammaren,1921,1921,
161,Nils Edén,f. 1871,Uppsala län,Andra kammaren,1921,1921,
162,Nils Erik Nilsson i Antnäs,h,Södra valkretsen,Andra kammaren,1921,1921,
163,Nils Johansson i Brånalt,jordbrukarnas riksförbund,Hallands län,Andra kammaren,1921,1921,
164,Nils Månsson i Erlandsro,h,Södra valkretsen,Andra kammaren,1921,1921,
165,Nils Olsson i Rösta,f. 1868,Norra valkretsen,Andra kammaren,1921,1921,
166,Nils Svensson i Långelanda,f. 1861,Västra valkretsen,Andra kammaren,1921,1921,
167,Nils Törnkvist,s,Norra valkretsen,Andra kammaren,1921,1921,
168,Nils Winkler,f. 1870,Malmö stad,Andra kammaren,1921,1921,
169,O.E. Eriksson i Fors,l,Östra valkretsen,Andra kammaren,1921,1921,
170,Ola Hansson Waldén,f. 1869,"Hälsingborg, Landskrona och Lund",Andra kammaren,1921,1921,
171,Olof Andersson i Höör,s,Mellersta valkretsen,Andra kammaren,1921,1921,
172,Olof Johansson i Edsbyn,f,Hälsinglands södra valkrets,Andra kammaren,1921,1921,
173,Olof Nilsson,f. 1863,Norra valkretsen,Andra kammaren,1921,1921,
174,Olof Nilsson i Örebro,f. 1874,Norra valkretsen,Andra kammaren,1921,1921,
175,Olof Olsson,jordbrukarnas riksförbund,Norra valkretsen,Andra kammaren,1921,1921,
176,Oscar Carlström,l,Östra valkretsen,Andra kammaren,1921,1921,
177,Oscar Ericson i Oberga,f. 1866,Östra valkretsen,Andra kammaren,1921,1921,
178,Oscar Johanson i Huskvarna,f. 1870,Västra valkretsen,Andra kammaren,1921,1921,
179,Oscar Jonsson i Risinge,jordbrukarnas riksförbund,Norra valkretsen,Andra kammaren,1921,1921,
180,Oscar Lövgren i Nyborg,f. 1888,Norra valkretsen,Andra kammaren,1921,1921,
181,Oscar Nathanael Olsson (senare Broberg),h,Norra valkretsen,Andra kammaren,1921,1921,
182,Oscar Osberg,l,Norra valkretsen,Andra kammaren,1921,1921,
183,Oskar Hagman,f. 1880,Första valkretsen,Andra kammaren,1921,1921,
184,Oskar Jonson i Remröd,h,Södra valkretsen,Andra kammaren,1921,1921,
185,Oskar Kloo,f. 1867,Blekinge län,Andra kammaren,1921,1921,
186,Oskar Sjölander,f. 1880,Uppsala län,Andra kammaren,1921,1921,
187,Otto Magnusson i Tumbhult,h,Västra valkretsen,Andra kammaren,1921,1921,
188,Pehr August Andersson i Knäppinge,f. 1863,Södra valkretsen,Andra kammaren,1921,1921,
189,Pehr Pehrsson,f. 1867,Göteborgs stad,Andra kammaren,1921,1921,
190,Per Albin Hansson,s,Andra valkretsen,Andra kammaren,1921,1921,
191,Per Edvin Sköld,s,Södra valkretsen,Andra kammaren,1921,1921,
192,Per Godén,l,Östra valkretsen,Andra kammaren,1921,1921,
193,Per Granath,f. 1882,Hälsinglands norra valkrets,Andra kammaren,1921,1921,
194,Per Johan Persson i Tofta,l,Hallands län,Andra kammaren,1921,1921,
195,Per Jonas Edberg,f. 1878,Medelpads valkrets,Andra kammaren,1921,1921,
196,Per Månsson i Backa,f. 1857,Norra valkretsen,Andra kammaren,1921,1921,
197,Per Nilsson i Bonarp,f. 1865,Nordvästra valkretsen,Andra kammaren,1921,1921,
198,Per Olsson i Fiskeby,f. 1864,Hälsinglands norra valkrets,Andra kammaren,1921,1921,
199,Per Persson i Trången,jordbrukarnas riksförbund,Norra valkretsen,Andra kammaren,1921,1921,
200,Peter Magnus Olsson i Blädinge,h,Västra valkretsen,Andra kammaren,1921,1921,
201,Petrus Bergström,f. 1881,Ångermanlands norra valkrets,Andra kammaren,1921,1921,
202,Petrus Ödström,f. 1868,Södra valkretsen,Andra kammaren,1921,1921,
203,Raoul Hamilton,f. 1855,Sydöstra valkretsen,Andra kammaren,1921,1921,
204,Reinhold Eliasson,f. 1872,Västra valkretsen,Andra kammaren,1921,1921,
205,Richard Hermelin,h,Hallands län,Andra kammaren,1921,1921,
206,Robert Jansson i Falun,f. 1868,Östra valkretsen,Andra kammaren,1921,1921,
207,Robert Karlsson i Gasabäck,f. 1869,Medelpads valkrets,Andra kammaren,1921,1921,
208,Samuel Hedlund,f. 1878,Södra valkretsen,Andra kammaren,1921,1921,
